id,identifier,trip_date,vehicle_id,driver_id
1393704,BTM Layout,05/31/23,1000108,1000296
1393705,MG Road,05/31/23,1000225,1000372
1393706,Nagharbavi,05/31/23,1000108,1000296
1393701,BTM Layout,05/30/23,1000108,1000296
1393702,MG Road,05/30/23,1000225,1000372
1393703,Nagharbavi,05/30/23,1000108,1000296
1393698,BTM Layout,05/29/23,1000108,1000296
1393699,MG Road,05/29/23,1000225,1000372
1393700,Nagharbavi,05/29/23,1000108,1000296
1393685,MG Road,05/27/23,1000225,1000372
1393686,Nagharbavi,05/27/23,1000108,1000296
1393683,MG Road,05/26/23,1000225,1000372
1393684,Nagharbavi,05/26/23,1000108,1000296
1393681,MG Road,05/25/23,1000225,1000372
1393682,Nagharbavi,05/25/23,1000108,1000296
1393696,BTM Layout,05/25/23,1000108,1000296
1393679,MG Road,05/24/23,1000225,1000372
1393680,Nagharbavi,05/24/23,1000108,1000296
1393693,Hebbal,05/24/23,1000108,1000296
1393694,BTM Layout,05/24/23,1000108,1000296
1393695,Hebbal,05/24/23,1000108,1000296
1393677,MG Road,05/23/23,1000225,1000372
1393678,Nagharbavi,05/23/23,1000108,1000296
1393690,Hebbal,05/23/23,1000108,1000296
1393691,Naganathapura,05/23/23,1000108,1000296
1393692,Hebbal,05/23/23,1000108,1000296
1393697,Nagharbavi,05/23/23,1000108,1000296
1393675,MG Road,05/22/23,1000225,1000372
1393676,Nagharbavi,05/22/23,1000108,1000296
1393687,Hebbal,05/22/23,1000108,1000296
1393688,Naganathapura,05/22/23,1000108,1000296
1393689,Hebbal,05/22/23,1000108,1000296
1393664,Arekere,05/20/23,1000233,1000263
1393665,Kammanahalli,05/20/23,1000108,1000296
1393666,Kudulu,05/20/23,1000233,1000263
1393667,MG Road,05/20/23,1000225,1000372
1393668,Nagharbavi,05/20/23,1000108,1000296
1393659,Arekere,05/19/23,1000233,1000263
1393660,Kammanahalli,05/19/23,1000108,1000296
1393661,Kudulu,05/19/23,1000233,1000263
1393662,MG Road,05/19/23,1000225,1000372
1393663,Nagharbavi,05/19/23,1000108,1000296
1393654,Arekere,05/18/23,1000233,1000263
1393655,Kammanahalli,05/18/23,1000108,1000296
1393656,Kudulu,05/18/23,1000233,1000263
1393657,MG Road,05/18/23,1000225,1000372
1393658,Nagharbavi,05/18/23,1000108,1000296
1393673,Jayadeva,05/18/23,1000233,1000263
1393674,Devrachikanalli,05/18/23,1000233,1000263
1393649,Arekere,05/17/23,1000233,1000263
1393650,Kammanahalli,05/17/23,1000108,1000296
1393651,Kudulu,05/17/23,1000233,1000263
1393652,MG Road,05/17/23,1000225,1000372
1393653,Nagharbavi,05/17/23,1000108,1000296
1393644,Arekere,05/16/23,1000233,1000263
