id,registration_no,model_id,route_no,driver_id,status,tracking_status,off_duty_start_time,off_duty_end_time,insurance_expiry_date,insurance_company_name,insurance_type,electric
1000000,KA04AA2150,1000000,3,NULL,Discontinued,INACTIVE,19:30:00,03:00:00,NULL,,,1
1000001,KA04AA3092,1000000,5,1000001,Discontinued,INACTIVE,22:30:00,07:00:00,NULL,,,1
1000002,KA03AC4486,1000000,6,NULL,Discontinued,ACTIVE,06:00:00,17:00:00,26-08-2016,National Insurance,Bumper to bumper,1
1000003,KA05AF2379,1000000,7,NULL,Discontinued,ACTIVE,23:00:00,12:00:00,NULL,,,1
1000004,KA03AC8100,1000000,11,NULL,Discontinued,ACTIVE,21:00:00,07:00:00,10-12-2016,National Insurance,Bumper to bumper,1
1000005,KA03AC8235,1000000,12,NULL,Discontinued,ACTIVE,22:00:00,07:00:00,23-12-2017,United India Insurance,Bumper to bumper,1
1000006,KA04AA5129,1000000,14,NULL,Discontinued,ACTIVE,04:00:00,12:00:00,NULL,,,1
1000007,KA03AC8660,1000000,15,NULL,Discontinued,ACTIVE,06:00:00,16:30:00,12-01-2018,United India Insurace,Bumper to bumper,1
1000008,KA03AC8658,1000000,16,NULL,Discontinued,INACTIVE,22:00:00,09:00:00,18-01-2018,United India Insurance ,Bumper to bumper,1
1000009,KA03AC8659,1000000,17,NULL,Discontinued,ACTIVE,22:00:00,09:30:00,30-12-2017,United India Insurance,Bumper to bumper,1
1000010,KA03AC8748,1000000,18,NULL,Discontinued,INACTIVE,22:00:00,04:00:00,30-01-2018,United India Insurance ,Bumper to bumper,1
1000011,KA51C9695,1000000,19,NULL,Discontinued,ACTIVE,10:00:00,22:00:00,30-12-2016,Future Generali India Insurance,Bumper to bumper,1
1000012,KA51D0014,1000000,20,NULL,Discontinued,ACTIVE,06:00:00,18:00:00,30-12-2016,Future Generali India Insurance,Bumper to bumper,1
1000013,KA03AC1649,1000000,1,NULL,Discontinued,ACTIVE,09:00:00,20:30:00,04-09-2018,UNITED INDIA INSURANCE,Bumper to bumper,1
1000014,KA04AA2149,1000000,2,NULL,Discontinued,INACTIVE,10:00:00,10:00:00,28-05-2017,UNITED INDIA INSURANCE,Bumper to bumper,1
1000015,KA28C3581,1000000,8,NULL,Discontinued,INACTIVE,04:00:00,14:00:00,12-10-2017,National Insurance,Bumper to bumper,1
1000016,KA03AC7242,1000000,9,NULL,Discontinued,ACTIVE,20:00:00,08:00:00,16-11-2016,National Insurance,Bumper to bumper,1
1000017,KA03AC7990,1000000,10,NULL,Discontinued,ACTIVE,01:00:00,12:00:00,08-12-2017,United India Insurance,Bumper to bumper,1
1000018,KA04AA6016,1000000,21,NULL,Discontinued,ACTIVE,04:00:00,14:30:00,NULL,National India INsurance,Bumper to bumper,1
1000019,KA03AD0187,1000000,23,NULL,Unavailable,ACTIVE,23:00:00,06:00:00,09-02-2017,United India Insurance,Bumper to bumper,1
1000020,KA03AD0188,1000000,22,NULL,Discontinued,ACTIVE,06:30:00,18:00:00,09-02-2018,United India Insurance ,Bumper to bumper,1
1000021,KA03AD0186,1000000,24,NULL,Available,INACTIVE,22:00:00,08:00:00,09-02-2017,National Insurance,Bumper to bumper,1
1000022,KA03AD0185,1000000,25,NULL,Out for Service,INACTIVE,07:00:00,16:00:00,26-04-2019,National Insurance,Bumper to bumper,1
1000023,KA51B1435,1000000,26,NULL,Discontinued,INACTIVE,08:00:00,20:00:00,NULL,,,1
1000024,KA03AD0723,1000000,27,NULL,Discontinued,INACTIVE,18:00:00,06:00:00,26-02-2018,United India Insurance,Bumper to bumper,1
1000025,KA01AF6255,1000000,28,NULL,Discontinued,INACTIVE,19:30:00,04:30:00,24-05-2018,United India Insurance,Bumper to bumper,1
1000026,KA04AA7656,1000000,29,1000037,Available,ACTIVE,07:00:00,19:00:00,22-05-2017,National Insurance,Bumper to bumper,1
1000027,KA03AD3967,1000000,30,NULL,Discontinued,INACTIVE,23:00:00,09:00:00,01-06-2018,United India Insurance ,Bumper to bumper,1
1000028,KA03AD4144,1000000,31,NULL,Discontinued,ACTIVE,09:00:00,21:00:00,07-06-2017,National Insurance ,Bumper to bumper,1
1000029,KA03AD4143,1000000,32,NULL,Out for Service,ACTIVE,07:00:00,19:00:00,23-06-2018,United India Insurance,Bumper to bumper,1
1000031,KA01AF7408,1000000,37,1000244,Available,INACTIVE,22:30:00,04:30:00,12-08-2018,United India Insurance ,Bumper to bumper,1
1000032,KA01AF7094,1000000,33,NULL,Discontinued,INACTIVE,06:00:00,15:00:00,27-06-2018,United India Insurance,Bumper to bumper,1
1000033,KA01AF7282,1000000,34,NULL,Discontinued,ACTIVE,10:00:00,16:00:00,29-06-2018,United India Insurance,Bumper to bumper,1
1000034,KA01AF7283,1000000,35,NULL,Out for Service,INACTIVE,02:00:00,13:00:00,29-06-2018,United India Insurance,Bumper to bumper,1
1000035,KA03AD4606,1000000,36,NULL,Unavailable,ACTIVE,22:00:00,10:00:00,22-06-2017,National insurance ,Bumper to bumper,1
1000036,KA03AD5233,1000000,38,NULL,Discontinued,INACTIVE,06:00:00,18:30:00,13-07-2018,United India Insurance,Bumper to bumper,1
1000037,KA51D6032,1000000,39,NULL,Discontinued,INACTIVE,19:00:00,07:00:00,21-09-2017,Future Generali,,1
1000038,KA01AG1475,1000000,40,1000074,Available,ACTIVE,05:30:00,16:00:00,29-09-2018,Sundaram Finance,Bumper to Bumper,1
1000039,KA51D7046,1000000,41,1000209,Available,INACTIVE,22:00:00,10:00:00,27-09-2017,National Insurance,,1
1000040,KA01AG1940,1000000,42,1000133,Available,INACTIVE,04:00:00,13:00:00,12-10-2017,National Insurance,,1
1000041,KA01AG1945,1000000,43,1000106,Available,INACTIVE,22:30:00,05:30:00,12-10-2017,National Insurance,,1
1000087,KA01AG2031,1000000,44,1000186,Available,ACTIVE,23:00:00,09:00:00,13-10-2017,NATIONAL INSURANCE,,1
1000088,KA01AG2155,1000000,45,NULL,Discontinued,ACTIVE,22:30:00,05:00:00,16-10-2017,NATIONAL INSURANCE,,1
1000089,KA01AG2156,1000000,46,NULL,Discontinued,INACTIVE,23:30:00,05:30:00,16-10-2017,National Insurance,,1
1000090,KA01AG2374,1000000,47,NULL,Discontinued,ACTIVE,05:30:00,05:00:00,19-10-2017,National Insurance,,1
1000091,KA01AG2375,1000000,48,1000133,Available,ACTIVE,07:00:00,13:30:00,19-10-2017,National Insurance,,1
1000092,KA03AD4096,1000000,50,NULL,Discontinued,INACTIVE,07:00:00,13:00:00,NULL,,,1
1000093,KA03AD4097,1000000,49,NULL,Discontinued,INACTIVE,NULL,NULL,NULL,,,1
1000094,KA01AD7505,1000000,51,NULL,Discontinued,INACTIVE,20:00:00,06:30:00,14-03-2018,National Insurance,,1
1000095,KA01AG7757,1000000,52,NULL,Discontinued,INACTIVE,23:00:00,05:00:00,17-03-2018,National Insurance,Bumper to bumper,1
1000096,KA01AG7595,1000000,53,1000209,Available,INACTIVE,19:00:00,07:00:00,NULL,,,1
1000097,KA01AG8026,1000000,54,1000381,Available,INACTIVE,21:30:00,09:30:00,26-03-2018,National Insurance,Bumper to bumper,1
1000098,KA012031,1000000,44,NULL,Deleted,INACTIVE,NULL,NULL,NULL,NULL,NULL,0
1000099,KA05AH3800,1000001,MUV002,NULL,Discontinued,INACTIVE,NULL,NULL,NULL,,,3
1000100,KA01AG8027,1000000,55,1000343,Available,INACTIVE,23:00:00,05:00:00,26-03-2018,National Insurance,Bumper to bumper,1
1000106,KA01AG8405,1000000,56,1000165,Available,INACTIVE,20:00:00,05:00:00,03-04-2018,National Insurance,Bumper to bumper,1
1000107,KA36B6439,1000003,SD022,1000254,Available,INACTIVE,NULL,NULL,NULL,,,3
1000108,KA03AD1908,1000003,A002,1000296,Available,INACTIVE,NULL,NULL,NULL,,,3
1000109,KA02AG1653,1000000,57,NULL,Discontinued,INACTIVE,07:00:00,18:30:00,NULL,,,1
1000110,KA03AD4095,1000000,58,NULL,Discontinued,INACTIVE,07:30:00,18:30:00,NULL,,,1
1000112,KA53C7606,1000003,SD001,NULL,Unavailable,INACTIVE,NULL,NULL,NULL,,,3
1000113,KA05AG0466,1000003,SD002,NULL,Discontinued,INACTIVE,NULL,NULL,NULL,,,3
1000114,KA01AF9530,1000002,SD003,NULL,Discontinued,INACTIVE,NULL,NULL,NULL,,Bumper to bumper,3
1000115,KA02AG3092,1000003,SD004,NULL,Discontinued,INACTIVE,NULL,NULL,NULL,,,3
1000116,KA03AC7880,1000003,SD005,1000207,Available,INACTIVE,NULL,NULL,NULL,,,3
1000117,KA53C3811,1000003,SD006,NULL,Unavailable,INACTIVE,NULL,NULL,NULL,,Bumper to bumper,3
1000118,KA03AE1398,1000002,SD007,NULL,Unavailable,INACTIVE,NULL,NULL,NULL,,Bumper to bumper,3
1000119,KA01AB6420,1000003,SD008,NULL,Discontinued,INACTIVE,NULL,NULL,NULL,,,3
1000120,KA05AF6624,1000000,HBD001,NULL,Discontinued,INACTIVE,NULL,NULL,NULL,,,3
1000121,KA03B2221,1000000,HB002,NULL,Discontinued,INACTIVE,NULL,NULL,NULL,,,3
1000123,KA05AG3848,1000002,SD009,1000114,Available,INACTIVE,NULL,NULL,NULL,,,3
1000124,KA03AD6900,1000003,SD010,1000225,Available,INACTIVE,NULL,NULL,NULL,,,3
1000125,KA08A0502,1000003,SD011,NULL,Unavailable,INACTIVE,NULL,NULL,NULL,,,3
1000126,KA50A5731,1000000,SD012,NULL,Unavailable,INACTIVE,NULL,NULL,NULL,,,3
1000127,KA42A8531,1000003,SD013,NULL,Discontinued,INACTIVE,NULL,NULL,NULL,,,3
1000128,KA03AE8402,1000002,SD014,NULL,Discontinued,INACTIVE,NULL,NULL,NULL,,,3
1000129,KA51B2245,1000003,SD015,1000231,Available,INACTIVE,13:15:00,NULL,NULL,,,3
1000130,KA03AF1805,1000003,SD016,NULL,Discontinued,INACTIVE,NULL,NULL,NULL,,,3
1000131,KA50A1118,1000003,SD017,NULL,Discontinued,INACTIVE,NULL,NULL,NULL,,,3
1000132,KA03AE1215,1000003,SD018,1000236,Available,INACTIVE,NULL,NULL,NULL,,,3
1000133,KA53B7024,1000003,SD019,NULL,Discontinued,INACTIVE,NULL,NULL,NULL,,,3
1000136,KA05AH0546,1000000,HB-D003,NULL,Deleted,INACTIVE,NULL,NULL,NULL,,,3
1000139,KA26A8711,1000002,SD020,1000297,Available,INACTIVE,NULL,NULL,NULL,,Bumper to bumper,3
1000140,KA02AG3250,1000003,SD021,NULL,Unavailable,INACTIVE,NULL,NULL,NULL,,,3
1000143,KA04AA9926,1000003,SD023,NULL,Discontinued,INACTIVE,NULL,NULL,NULL,,,3
1000144,KA03AF7077,1000002,S001,1000263,Available,INACTIVE,NULL,NULL,NULL,,,3
1000145,KA53C6474,1000000,HB003,NULL,Discontinued,INACTIVE,NULL,NULL,NULL,,,3
